datetime,final_score,wealth,pct_starved,population,bushels,acres,last_turn,total_deaths,total_harvested,total_rats_eaten,total_starved,total_infants,total_lost_to_plague,total_land_purchases,total_land_sales
2024-03-09 11:04:50.268903,3,10.86259541984733,3,131,10,1423,11,41,37,242,40,76,0,647,224
2024-03-09 11:06:52.757050,3,20.11320754716981,3,53,11,1066,11,30,28,226,29,91,104,218,152
2024-03-09 11:08:46.929575,3,12.60952380952381,3,105,4,1324,11,25,36,208,24,117,83,331,7
2024-03-09 11:10:43.703225,3,20.137254901960784,3,51,0,1027,11,28,28,215,27,76,93,212,185
2024-03-09 11:12:38.483998,3,10.18421052631579,3,114,9,1161,11,40,34,235,39,58,0,372,211
2024-03-09 11:14:34.349776,3,27.386363636363637,3,44,5,1205,11,23,32,205,22,125,154,273,68
2024-03-09 11:16:34.746421,3,17.676470588235293,3,68,16,1202,11,22,30,213,21,192,198,287,85
2024-03-09 11:18:33.266801,3,22.59259259259259,3,54,5,1220,11,35,33,241,34,88,95,389,169
2024-03-09 11:20:29.719530,3,41.93333333333333,3,30,4,1258,11,28,35,240,27,115,153,372,114
2024-03-09 11:22:22.689488,3,24.253731343283583,3,67,3,1625,11,42,37,211,41,81,68,734,109
2024-03-09 11:24:17.083578,3,27.51063829787234,3,47,2,1293,11,31,33,215,30,108,126,361,68
2024-03-09 11:26:14.006269,2,9.88034188034188,3,117,9,1156,11,41,34,236,40,62,0,349,193
2024-03-09 11:28:14.410351,3,23.0,3,47,3,1081,11,25,29,248,24,115,139,203,122
2024-03-09 11:30:10.614228,3,13.795454545454545,3,88,7,1214,11,21,36,217,20,175,162,308,94
2024-03-09 11:32:09.488300,3,11.336448598130842,3,107,22,1213,11,31,31,226,30,95,53,371,158
2024-03-09 11:34:03.336709,3,22.517857142857142,3,56,4,1261,11,23,35,226,22,131,148,329,68
2024-03-09 11:36:03.687494,3,18.59375,3,64,8,1190,11,24,35,207,23,119,127,303,113
2024-03-09 11:38:00.077809,3,18.661971830985916,3,71,20,1325,11,30,32,212,29,104,99,430,105
2024-03-09 11:39:56.500013,3,28.365853658536587,3,41,11,1163,11,31,32,220,30,66,90,253,90
2024-03-09 11:41:56.869589,3,23.155555555555555,3,45,21,1042,11,22,31,223,21,168,197,219,177
2024-03-09 11:43:57.334867,3,10.631147540983607,3,122,20,1297,11,32,34,201,31,112,54,386,89
2024-03-09 11:45:56.351716,3,15.08108108108108,3,74,4,1116,11,34,31,224,33,68,56,330,214
2024-03-09 11:47:53.121396,3,12.628865979381443,3,97,10,1225,11,27,31,212,26,78,50,343,118
2024-03-09 11:49:52.079515,2,9.513761467889909,3,109,6,1037,11,36,27,216,35,108,59,227,190
2024-03-09 11:51:50.538298,3,14.21505376344086,3,93,0,1322,11,31,35,242,30,133,105,416,94
2024-03-09 11:53:45.237984,3,14.684931506849315,3,73,11,1072,11,32,33,222,31,66,57,204,132
2024-03-09 11:55:39.081431,3,25.07017543859649,3,57,14,1429,11,24,38,217,23,186,201,466,37
2024-03-09 11:57:38.954203,3,18.389830508474578,3,59,16,1085,11,23,32,211,22,142,156,157,72
2024-03-09 11:59:37.828162,3,14.481927710843374,3,83,0,1202,11,32,33,262,31,75,56,406,204
2024-03-09 12:01:34.612126,3,29.384615384615383,3,39,20,1146,11,34,32,233,33,114,137,308,162
2024-03-09 12:03:35.125811,3,14.783783783783784,3,74,20,1094,11,30,27,219,29,100,92,216,122
2024-03-09 12:05:33.606376,3,11.819148936170214,3,94,15,1111,11,33,30,215,32,85,54,275,164
2024-03-09 12:07:28.083233,3,19.125,3,72,10,1377,11,36,34,210,35,74,62,420,43
2024-03-09 12:09:19.532925,3,34.64102564102564,3,39,0,1351,11,30,37,258,29,111,138,374,23
2024-03-09 12:11:13.008531,3,25.62962962962963,3,54,2,1384,11,24,37,221,23,120,138,452,68
2024-03-09 12:13:11.482496,3,14.890243902439025,3,82,14,1221,11,31,32,213,30,120,103,376,155
2024-03-09 12:15:04.928548,3,15.710526315789474,3,76,2,1194,11,27,32,233,26,130,123,330,136
2024-03-09 12:17:00.832601,3,17.733333333333334,3,75,15,1330,11,29,37,230,28,114,106,363,33
2024-03-09 12:18:59.393520,3,14.129411764705882,3,85,12,1201,11,36,32,211,35,82,57,324,123
2024-03-09 12:20:57.825283,3,23.863636363636363,3,44,15,1050,11,29,26,230,28,75,98,231,181
2024-03-09 12:22:54.694006,3,13.511111111111111,3,90,15,1216,11,30,35,233,29,113,89,332,116
2024-03-09 12:24:48.635585,3,24.71186440677966,3,59,8,1458,11,32,40,216,31,99,104,475,17
2024-03-09 12:26:47.150336,3,11.345454545454546,3,110,0,1248,11,32,33,292,31,99,53,354,106
2024-03-09 12:28:41.943438,3,12.762376237623762,3,101,9,1289,11,32,36,246,31,90,53,416,127
2024-03-09 12:30:40.344616,3,13.7625,3,80,9,1101,11,31,28,223,30,71,56,290,189
2024-03-09 12:32:39.410181,2,9.422018348623853,3,109,10,1027,11,40,28,228,39,53,0,210,183
2024-03-09 12:34:33.260974,3,38.2,3,35,15,1337,11,24,36,219,23,157,194,363,26
2024-03-09 12:36:34.053857,3,16.45762711864407,3,59,0,971,11,27,24,237,26,74,84,88,117
2024-03-09 12:38:28.462429,3,32.027027027027025,3,37,13,1185,11,33,30,215,32,58,84,306,121
2024-03-09 12:40:25.203684,3,11.746835443037975,3,79,11,928,11,32,25,211,31,70,55,99,171
2024-03-09 12:42:19.034376,3,37.54545454545455,3,33,20,1239,11,22,36,216,21,182,223,298,59
2024-03-09 12:44:11.374497,3,12.137931034482758,3,116,7,1408,11,36,36,222,35,113,57,472,64
2024-03-09 12:46:07.781513,3,36.5,3,40,0,1460,11,28,38,235,27,104,132,539,79
2024-03-09 12:48:04.144269,3,15.148148148148149,3,81,17,1227,11,29,32,240,28,105,91,319,92
2024-03-09 12:49:58.541937,3,19.76388888888889,3,72,2,1423,11,28,40,220,27,112,108,497,74
2024-03-09 12:51:57.530058,3,21.173076923076923,3,52,4,1101,11,35,28,231,34,87,96,325,224
2024-03-09 12:53:55.581763,3,28.73170731707317,3,41,16,1178,11,31,31,214,30,116,140,330,152
2024-03-09 12:55:53.902804,3,17.457142857142856,3,70,0,1222,11,22,31,253,21,153,157,324,102
2024-03-09 12:57:50.304601,3,18.32051282051282,3,78,2,1429,11,30,38,218,29,115,103,549,120
2024-03-09 12:59:51.212306,3,28.24137931034483,3,29,11,819,11,31,23,216,30,87,123,177,358
2024-03-09 13:01:45.640472,3,22.176470588235293,3,68,1,1508,11,31,39,233,30,100,97,582,74
2024-03-09 13:03:39.938571,3,16.985915492957748,3,71,10,1206,11,26,33,238,25,92,91,269,63
2024-03-09 13:05:38.838601,3,11.873563218390805,3,87,26,1033,11,35,29,206,34,87,61,275,242
2024-03-09 13:07:37.689585,2,9.510416666666666,3,96,1,913,11,28,25,230,27,107,79,119,206
2024-03-09 13:09:27.945093,3,13.508620689655173,3,116,9,1567,11,33,43,247,32,108,55,567,0
2024-03-09 13:11:24.314861,3,31.386363636363637,3,44,2,1381,11,30,38,222,29,79,101,475,94
2024-03-09 13:13:22.533475,3,21.923076923076923,3,52,12,1140,11,27,29,237,26,112,129,330,190
2024-03-09 13:15:19.263585,3,14.76056338028169,3,71,10,1048,11,36,30,225,35,67,56,296,248
2024-03-09 13:17:13.559173,3,25.73076923076923,3,52,8,1338,11,33,35,217,32,95,106,461,123
2024-03-09 13:19:14.077061,3,12.511363636363637,3,88,0,1101,11,35,29,236,34,84,57,261,160
2024-03-09 13:21:12.988521,3,19.408163265306122,3,49,23,951,11,31,26,221,30,86,102,237,286
2024-03-09 13:23:03.343329,3,27.49206349206349,3,63,7,1732,11,37,42,228,36,135,131,732,0
2024-03-09 13:25:01.823696,3,18.65671641791045,3,67,23,1250,11,32,33,216,31,96,93,344,94
2024-03-09 13:27:02.755929,3,10.656862745098039,3,102,4,1087,11,31,27,208,30,90,53,310,223
2024-03-09 13:29:01.572784,3,31.0,3,36,8,1116,11,25,28,276,24,133,168,219,103
2024-03-09 13:31:00.626604,2,9.875,3,112,16,1106,11,39,32,215,38,55,0,313,207
2024-03-09 13:32:55.062858,3,18.70886075949367,3,79,4,1478,11,36,35,204,35,81,62,561,83
2024-03-09 13:34:57.706945,3,27.210526315789473,3,38,2,1034,11,36,29,224,35,73,95,239,205
2024-03-09 13:36:56.296866,3,13.945652173913043,3,92,20,1283,11,37,33,227,36,97,64,436,153
2024-03-09 13:38:54.701295,3,18.822580645161292,3,62,12,1167,11,30,28,213,29,95,99,349,182
2024-03-09 13:40:51.224828,3,17.80821917808219,3,73,12,1300,11,38,34,212,37,79,64,377,77
2024-03-09 13:42:49.549771,3,13.925925925925926,3,81,4,1128,11,27,33,211,26,111,99,244,116
2024-03-09 13:44:46.019719,3,31.727272727272727,3,33,10,1047,11,34,29,211,33,65,94,241,194
2024-03-09 13:46:42.010914,3,16.83783783783784,3,74,8,1246,11,27,33,223,26,134,129,381,135
2024-03-09 13:48:39.009559,3,11.403508771929825,3,114,21,1300,11,39,33,211,38,57,0,474,174
2024-03-09 13:50:35.321518,3,15.419753086419753,3,81,1,1249,11,30,37,218,29,114,99,355,106
2024-03-09 13:52:33.723698,3,19.58730158730159,3,63,11,1234,11,24,34,212,23,135,144,311,77
